gin_and_tonic,Gin and Tonic,45 0 0 0 0 90 0 0 0 0
martini,Martini,120 15 0 0 0 0 0 0 0 0
gin_sour,Gin Sour,60 0 0 0 0 0 30 0 30 0
gimlet,Gimlet,60 0 0 0 0 0 0 30 30 0
negroni,Negroni,45 0 45 45 0 0 0 0 0 0
whiskey_sour,Whiskey Sour,0 0 0 0 60 0 30 0 30 0
old_fashioned,Old Fashioned,0 0 0 0 60 0 0 0 15 3
manhattan,Manhattan,0 0 30 0 60 0 0 0 0 3
test_25_75,Bluered,30 90 0 0 0 0 0 0 0 0
test_50_50,Purple,60 60 0 0 0 0 0 0 0 0
test_100_0,Whole lotta red,120 0 0 0 0 0 0 0 0 0
